,Product Code,Quality,Process T (C),Ambient T (C),T Difference Squared (C^2),Tool Lifespan (min),Tool Lifespan/Temp Increase^2 (min/C^2),Rotation Speed (rpm),Torque (Nm),Horsepower (HP),Machine Status
12695,K,L,34.65,23.65,121.0,126.0,1.0,1573.0,36.4,10.901980198019801,0.0
12696,Z,L,34.65,23.65,121.0,124.0,1.0,1565.0,39.5,11.770277989337396,0.0
12697,Z,L,34.25,23.25,121.0,70.0,1.0,1403.0,48.4,12.92939832444783,0.0
12698,S,M,34.25,23.15,123.21000000000004,67.0,1.0,1958.0,19.1,7.120677837014472,0.0
12699,K,H,34.35,23.25,123.21000000000004,62.0,1.0,1556.0,38.0,11.258187357197258,0.0
12700,Z,L,34.25,23.15,123.21000000000004,60.0,0.0,1648.0,34.0,10.668697638994669,0.0
12701,T,L,34.35,23.25,123.21000000000004,58.0,0.0,1549.0,36.1,10.647162985529322,0.0
12702,Z,L,34.25,23.15,123.21000000000004,56.0,0.0,1760.0,28.4,9.517136329017518,0.0
12703,T,M,34.15,23.05,123.20999999999995,53.0,0.0,1477.0,35.2,9.899162223914699,0.0
12704,S,L,34.25,23.15,123.21000000000004,51.0,0.0,1472.0,39.9,11.182939832444783,0.0
12705,T,M,34.25,23.15,123.21000000000004,48.0,0.0,1335.0,50.5,12.836538461538462,0.0
12706,Z,L,34.25,23.25,121.0,46.0,0.0,1512.0,36.8,10.594364051789794,0.0
12707,S,L,34.15,23.05,123.20999999999995,44.0,0.0,1475.0,37.0,10.39127951256664,0.0
12708,T,L,34.15,23.05,123.20999999999995,42.0,0.0,1700.149411305985,29.9,9.67906843070239,0.0
12709,Z,L,34.15,23.05,123.20999999999995,40.0,0.0,1790.5922777998887,24.3,8.284728170323172,0.0
12710,S,L,34.05,23.05,120.99999999999993,38.0,0.0,1515.0,36.5,10.528846153846153,0.0
12711,T,M,34.05,23.15,118.80999999999997,35.0,0.0,1454.0,42.5,11.765993907083017,0.0
12712,Z,M,34.35,23.25,123.21000000000004,72.0,1.0,1684.0,31.4,10.068088347296268,0.0
12713,Z,H,34.35,23.25,123.21000000000004,75.0,1.0,1596.0,35.1,10.666336633663368,0.0
12714,K,L,34.45,23.45,121.00000000000009,80.0,1.0,1498.0,41.1,11.722734196496573,0.0
12715,Z,L,34.55,23.55,120.99999999999993,82.0,1.0,1587.0749498335213,36.8,11.12040330424097,0.0
12716,S,L,34.65,23.65,121.0,122.0,1.0,1480.0,39.4,11.102817974105102,0.0
12717,T,H,34.65,23.65,121.0,117.0,1.0,1627.0,30.5,9.448495811119573,0.0
12718,T,M,34.55,23.55,120.99999999999993,114.0,1.0,1597.0,32.1,9.760795887281036,0.0
12719,Z,L,34.55,23.55,120.99999999999993,112.0,1.0,1927.0,23.9,8.769097486671743,0.0
12720,K,L,34.55,23.45,123.20999999999995,110.0,1.0,1556.0,37.7,11.16930693069307,0.0
12721,S,L,34.45,23.45,121.00000000000009,108.0,1.0,1671.0,28.8,9.163137852246763,0.0
12722,K,L,34.45,23.35,123.21000000000004,106.0,1.0,1415.0,44.2,11.90841584158416,0.0
12723,K,L,34.15,23.15,121.0,31.0,0.0,1332.7259305378088,52.7,13.372935365449834,0.0
12724,K,L,34.45,23.35,123.21000000000004,104.0,1.0,1607.0,33.5,10.250285605483626,0.0
12725,Z,L,34.35,23.25,123.21000000000004,99.0,1.0,1331.0,47.8,12.113823305407463,0.0
12726,K,H,34.35,23.25,123.21000000000004,94.0,1.0,1403.0,52.8,14.104798172124903,0.0
12727,K,L,34.45,23.35,123.21000000000004,92.0,1.0,1512.0,43.6,12.552018278750952,0.0
12728,T,L,34.45,23.35,123.21000000000004,90.0,1.0,1431.0,45.2,12.315536938309217,0.0
12729,S,L,34.45,23.45,121.00000000000009,88.0,1.0,1542.0,37.4,10.98073115003808,0.0
12730,S,L,34.45,23.45,121.00000000000009,86.0,1.0,1809.0,25.1,8.64544935262757,0.0
12731,K,L,34.55,23.55,120.99999999999993,84.0,1.0,1502.0,43.9,12.554798172124906,0.0
12732,T,M,34.55,23.45,123.20999999999995,101.0,1.0,1474.0,52.6,14.762452399086063,0.0
12733,Z,M,35.75,24.35,129.95999999999998,12.0,0.0,1535.0,37.7,11.018564356435645,0.0
12734,T,L,36.85,25.15,136.89000000000007,101.0,1.0,1460.0,47.6,13.232292460015232,0.0
12735,Z,M,36.95,25.25,136.89000000000007,96.0,1.0,1335.0,57.8,14.692117288651943,0.0
12736,S,M,35.45,25.15,106.09000000000009,137.0,1.0,1589.0,37.1,11.22465727341965,0.0
12737,Z,L,35.55,25.25,106.08999999999995,135.0,1.0,1386.0,44.9,11.849086062452399,0.0
12738,S,H,35.55,25.25,106.08999999999995,130.0,1.0,1344.0,52.9,13.537242955064736,0.0
12739,S,L,35.55,25.35,104.0399999999999,128.0,1.0,1575.0,33.9,10.166127189642042,0.0
12740,T,L,35.55,25.25,106.08999999999995,126.0,1.0,1523.0,36.1,10.468450114242193,0.0
12741,Z,L,35.45,25.25,104.04000000000006,124.0,1.0,1477.0,44.0,12.373952779893374,0.0
12742,K,L,35.45,25.25,104.04000000000006,122.0,1.0,1591.0,36.7,11.117612338156894,0.0
12743,Z,L,35.55,25.35,104.0399999999999,117.0,1.0,1609.0,35.3,10.814489718202589,0.0
12744,K,M,35.45,25.35,102.01000000000003,114.0,1.0,1344.0,53.0,13.562833206397563,0.0
12745,Z,L,35.35,25.25,102.01000000000003,112.0,1.0,1741.0,32.8,10.872962680883472,0.0
12746,Z,L,35.35,25.25,102.01000000000003,110.0,1.0,1490.0,37.9,10.752284843869003,0.0
12747,Z,M,35.35,25.25,102.01000000000003,107.0,1.0,1636.0,35.7,11.120563594821022,0.0
12748,S,L,35.35,25.15,104.04000000000006,105.0,1.0,1575.0,41.2,12.355293221629857,0.0
12749,K,L,35.45,25.25,104.04000000000006,103.0,1.0,1609.0,35.0,10.722581873571972,0.0
12750,T,L,35.45,25.25,104.04000000000006,101.0,1.0,1419.819918160344,47.1,12.732962327751753,0.0
12751,S,L,35.45,25.15,106.09000000000009,140.0,1.0,1548.0,40.3,11.878217821782178,0.0
12752,K,L,35.55,25.25,106.08999999999995,99.0,1.0,1588.0,35.0,10.582635186595583,0.0
12753,T,L,35.45,25.15,106.09000000000009,142.0,1.0,1499.0,38.3,10.931397562833206,0.0
12754,T,L,35.45,25.15,106.09000000000009,146.0,1.0,1447.0,38.1,10.497086824067022,0.0
12755,K,L,35.25,25.05,104.03999999999999,181.0,2.0,1512.0,34.9,10.047372429550647,0.0
12756,Z,L,35.25,25.05,104.03999999999999,179.0,2.0,1424.0,47.6,12.906016755521708,0.0
12757,S,L,35.25,25.15,102.01000000000003,177.0,2.0,1408.0,43.1,11.554607768469156,0.0
12758,K,L,35.45,25.15,106.09000000000009,175.0,2.0,1570.0,34.8,10.4028941355674,0.0
12759,K,L,35.35,25.15,104.04000000000006,173.0,2.0,1538.0,32.2,9.42947448591013,0.0
12760,S,M,35.35,25.15,104.04000000000006,170.0,2.0,1629.0,37.1,11.507216298552933,0.0
12761,S,L,35.35,25.15,104.04000000000006,168.0,2.0,1539.0,36.1,10.578427265803503,0.0
12762,S,L,35.25,25.15,102.01000000000003,166.0,2.0,1329.0,49.2,12.44988575780655,0.0
12763,Z,L,35.35,25.15,104.04000000000006,164.0,2.0,1362.0,53.8,13.95194211728865,0.0
12764,S,L,35.45,25.15,106.09000000000009,162.0,2.0,1584.0,29.3,8.836862147753237,0.0
12765,T,L,35.45,25.25,104.04000000000006,160.0,2.0,1569.0,34.4,10.276770753998477,0.0
12766,S,L,35.45,25.25,104.04000000000006,158.0,2.0,1304.0,45.0,11.172886519421173,0.0
12767,S,H,35.35,25.25,102.01000000000003,153.0,1.0,1827.0,24.3,8.453179741051027,0.0
12768,T,L,35.35,25.15,104.04000000000006,151.0,1.0,1416.0,52.7,14.208530083777609,0.0
12769,K,M,35.35,25.15,104.04000000000006,148.0,1.0,1432.1560168065257,46.2,12.598173643652228,0.0
12770,Z,L,35.35,25.15,104.04000000000006,144.0,1.0,1664.0,31.6,10.011881188118812,0.0
12771,T,L,35.25,25.05,104.03999999999999,183.0,2.0,1478.0,42.9,12.072772277227722,0.0
12772,Z,M,35.45,25.25,104.04000000000006,96.0,1.0,1527.0,40.9,11.891527037319115,0.0
12773,K,L,35.35,25.15,104.04000000000006,89.0,1.0,1453.0,42.9,11.868564356435643,0.0
12774,T,L,34.95,25.05,98.01000000000005,35.0,0.0,1306.0,58.3,14.497296268088348,0.0
12775,T,M,34.85,25.05,96.04000000000002,32.0,0.0,1591.0,33.7,10.208815689261234,0.0
12776,S,M,35.62275160546194,24.95,113.9076268318905,29.0,0.0,1924.0,20.8,7.61980198019802,0.0
12777,S,L,34.95,25.05,98.01000000000005,27.0,0.0,1462.0,50.8,14.14120335110434,0.0
12778,S,M,35.05,25.25,96.03999999999995,24.0,0.0,1610.0,35.0,10.72924600152323,0.0
12779,S,L,35.15,25.25,98.00999999999998,22.0,0.0,1318.0,59.1,14.831264280274182,0.0
12780,Z,H,35.15,25.25,98.00999999999998,15.0,0.0,1458.0,42.9,11.909405940594059,0.0
12781,T,H,35.05,25.25,96.03999999999995,10.0,0.0,1657.5115411560555,32.6,10.288437974426392,0.0
12782,K,L,35.25,25.35,98.00999999999998,8.0,0.0,1733.0,26.0,8.57920792079208,0.0
12783,Z,M,35.15,25.35,96.03999999999995,5.0,0.0,1440.0,43.6,11.954303122619955,0.0
12784,K,M,35.05,25.25,96.03999999999995,2.0,0.0,1468.0,43.8,12.242650418888042,0.0
12785,Z,L,35.05,25.25,96.03999999999995,214.0,2.0,1471.0,47.0,13.163937547600915,0.0
12786,T,M,35.05,25.25,96.03999999999995,211.0,2.0,1528.9320255719244,40.0,11.644569882497521,0.0
12787,Z,H,35.05,25.25,96.03999999999995,206.0,2.0,1478.0,43.5,12.241622239146992,0.0
12788,Z,L,34.95,25.05,98.01000000000005,37.0,0.0,1382.0,43.5,11.446496572734196,0.0
12789,K,H,35.45,25.15,106.09000000000009,91.0,1.0,1432.0,49.5,13.496572734196496,0.0
12790,S,L,34.95,25.05,98.01000000000005,39.0,0.0,1622.3344624153233,34.7,10.71877491352089,0.0
12791,T,L,35.05,25.05,99.99999999999993,43.0,0.0,1436.0,50.2,13.725666412795125,0.0
12792,T,H,35.25,25.05,104.03999999999999,81.0,1.0,1678.0,34.6,11.054607768469156,0.0
12793,K,H,35.25,25.05,104.03999999999999,76.0,1.0,1398.0,51.8,13.788347296268087,0.0
12794,T,L,35.25,25.05,104.03999999999999,74.0,1.0,1666.0,34.6,10.975552170601677,0.0
12795,K,L,35.25,25.05,104.03999999999999,72.0,1.0,1477.0,49.9,14.033187357197258,0.0
12796,K,M,35.25,25.15,102.01000000000003,69.0,1.0,1539.0,43.4,12.717555217060166,0.0
12797,Z,L,35.35,25.15,104.04000000000006,67.0,1.0,1606.0,33.6,10.274485910129476,0.0
12798,Z,L,35.25,25.05,104.03999999999999,65.0,1.0,1379.0,43.1,11.316622239146993,0.0
12799,S,L,35.15,24.95,104.03999999999999,63.0,1.0,1301.0,56.0,13.872048743335872,0.0
12800,Z,L,35.05,25.05,99.99999999999993,61.0,1.0,1446.0,38.2,10.517364813404418,0.0
12801,K,L,35.05,25.05,99.99999999999993,59.0,1.0,1687.6738528203534,30.6,9.832981701504727,0.0
12802,Z,L,35.05,24.95,102.00999999999996,57.0,1.0,1524.8766685414557,40.7,11.816923154919508,0.0
12803,T,M,35.05,24.95,102.00999999999996,54.0,1.0,1342.0,48.1,12.290594059405942,0.0
12804,K,H,35.15,25.05,102.00999999999996,49.0,0.0,1824.0,24.2,8.404569687738004,0.0
12805,Z,L,35.15,25.05,102.00999999999996,47.0,0.0,1475.0,49.9,14.014185072353389,0.0
12806,T,L,35.70115086483648,25.05,113.44701474550683,45.0,0.0,1304.0,49.8,12.364661081492764,0.0
12807,Z,L,35.05,25.05,99.99999999999993,41.0,0.0,1988.0,21.4,8.1003808073115,0.0
12808,Z,M,35.15,24.95,104.03999999999999,185.0,2.0,1680.0,33.7,10.779893373952781,0.0
12809,K,L,35.15,24.95,104.03999999999999,188.0,2.0,1495.0,38.7,11.016089108910892,0.0
12810,S,M,34.95,24.85,102.01000000000003,190.0,2.0,1552.0,36.6,10.815536938309217,0.0
12811,K,M,35.45,24.95,110.25000000000007,119.0,1.0,1716.0,30.7,10.03069306930693,0.0
12812,S,M,35.35,24.95,108.16000000000004,116.0,1.0,1372.0,51.1,13.349047981721249,0.0
12813,K,H,35.35,24.95,108.16000000000004,111.0,1.0,1392.0,44.8,11.873876618431074,0.0
12814,Z,L,35.25,24.95,106.09000000000002,109.0,1.0,1335.0,40.2,10.21839299314547,0.0
12815,Z,L,35.15,24.85,106.08999999999995,107.0,1.0,1492.1065194667572,42.6,12.102768036801953,0.0
12816,T,L,35.25,24.95,106.09000000000002,105.0,1.0,1438.0,45.6,12.485300837776085,0.0
12817,Z,L,35.25,24.95,106.09000000000002,103.0,1.0,1436.0,46.7,12.768697638994668,0.0
12818,T,H,35.25,25.05,104.03999999999999,98.0,1.0,1498.94139562169,42.2,12.044045486526146,0.0
12819,S,L,35.15,25.05,102.00999999999996,96.0,1.0,1805.0,31.6,10.86024371667936,0.0
12820,T,L,35.15,25.05,102.00999999999996,94.0,1.0,1644.2286159956784,33.2,10.393829027238485,0.0
12821,T,L,35.15,25.05,102.00999999999996,92.0,1.0,1568.0,36.0,10.747905559786748,0.0
12822,K,L,35.15,25.05,102.00999999999996,90.0,1.0,2051.0,19.2,7.497943640517898,0.0
12823,K,L,35.05,25.05,99.99999999999993,88.0,1.0,1469.0,43.0,12.027227722772277,0.0
12824,Z,M,35.647909598040755,24.95,114.44526976785252,85.0,1.0,1390.0,49.8,13.18012185833968,0.0
12825,Z,L,34.85,24.95,98.01000000000005,83.0,1.0,1626.0,36.5,11.30026656511805,0.0
12826,Z,L,35.35,24.85,110.25,122.0,1.0,1433.544471772992,46.2,12.610387394499664,0.0
12827,T,M,35.639942779356865,24.95,114.274876625924,80.0,1.0,1456.0,43.7,12.114851485148515,0.0
12828,Z,L,35.35,24.85,110.25,124.0,1.0,1713.0,25.3,8.251884996191928,0.0
12829,Z,M,35.15,24.65,110.25,131.0,1.0,1567.0,35.6,10.621706016755523,0.0
12830,T,M,35.35,24.75,112.36000000000003,172.0,2.0,1321.6134998017162,53.0,13.336922218105668,0.0
12831,K,L,35.45,24.85,112.36000000000003,170.0,2.0,1313.0,50.8,12.7,0.0
12832,T,L,35.45,24.75,114.49000000000007,168.0,1.0,1468.0,36.0,10.062452399086062,0.0
12833,T,M,35.45,24.85,112.36000000000003,165.0,1.0,1453.0,44.1,12.200552170601677,0.0
12834,K,H,35.45,24.85,112.36000000000003,160.0,1.0,1526.0,41.8,12.145239908606245,0.0
12835,K,L,35.35,24.75,112.36000000000003,157.0,1.0,1449.0,40.8,11.256511805026657,0.0
12836,T,L,35.35,24.75,112.36000000000003,155.0,1.0,1305.0,47.2,11.72810357958873,0.0
12837,S,M,35.25,24.65,112.36000000000003,152.0,1.0,1579.0,36.6,11.003693830921554,0.0
12838,Z,L,35.25,24.65,112.36000000000003,150.0,1.0,1374.0,47.1,12.322048743335872,0.0
12839,K,L,35.25,24.65,112.36000000000003,148.0,1.0,2129.0,19.2,7.783092155369382,0.0
12840,Z,L,35.25,24.65,112.36000000000003,146.0,1.0,1737.0,27.5,9.09510662604722,0.0
12841,K,M,35.25,24.65,112.36000000000003,143.0,1.0,1479.0,43.5,12.249904798172125,0.0
12842,K,H,35.25,24.65,112.36000000000003,138.0,1.0,1512.0,35.1,10.104950495049506,0.0
12843,T,L,35.25,24.55,114.48999999999998,136.0,1.0,1740.0,27.1,8.978293983244479,0.0
12844,K,L,35.25,24.65,112.36000000000003,134.0,1.0,1622.0,38.3,11.828370144706778,0.0
12845,T,L,35.35,24.75,112.36000000000003,126.0,1.0,1877.1185692649829,18.7,6.683571448068388,0.0
12846,K,L,34.95,24.85,102.01000000000003,78.0,1.0,1819.0,23.4,8.104455445544554,0.0
12847,S,M,34.85,24.85,100.0,75.0,1.0,1620.0,29.4,9.068545316070068,0.0
12848,K,H,34.85,24.85,100.0,70.0,1.0,1479.0,50.7,14.277475247524753,0.0
12849,S,L,35.05,24.85,104.0399999999999,11.0,0.0,1489.0,40.4,11.453846153846154,0.0
12850,S,L,35.05,24.85,104.0399999999999,9.0,0.0,1514.0,37.9,10.925476009139375,0.0
12851,Z,L,35.05,24.85,104.0399999999999,7.0,0.0,1357.0,48.2,12.453808073115004,0.0
12852,K,L,35.05,24.85,104.0399999999999,5.0,0.0,1620.0,35.8,11.04265041888804,0.0
12853,K,M,35.05,24.85,104.0399999999999,2.0,0.0,1466.0,42.6,11.89101294744859,0.0
12854,Z,L,35.05,24.85,104.0399999999999,214.0,2.0,1469.0,45.5,12.726485148514852,0.0
12855,Z,L,34.95,24.75,104.04000000000006,212.0,2.0,1585.0,33.5,10.109958111195734,0.0
12856,T,M,34.95,24.75,104.04000000000006,209.0,2.0,1627.0,31.4,9.727303884234576,0.0
12857,K,M,35.05,24.85,104.0399999999999,206.0,2.0,1395.0,49.1,13.041603198781416,0.0
12858,T,L,35.05,24.85,104.0399999999999,204.0,2.0,1442.0,44.1,12.10818735719726,0.0
12859,Z,L,34.95,24.85,102.01000000000003,200.0,2.0,1777.0,24.3,8.221839299314546,0.0
12860,T,M,34.95,24.85,102.01000000000003,197.0,2.0,1339.0,51.6,13.155445544554457,0.0
12861,K,L,35.05,24.85,104.0399999999999,195.0,2.0,1611.0,30.6,9.386252856054837,0.0
12862,S,L,34.95,24.75,104.04000000000006,193.0,2.0,1393.0,50.3,13.341184310738765,0.0
12863,K,L,35.15,24.95,104.03999999999999,13.0,0.0,1331.0,63.0,15.965917745620716,0.0
12864,S,L,34.85,24.85,100.0,15.0,0.0,1615.0,29.5,9.071306169078447,0.0
12865,S,L,35.05,24.95,102.00999999999996,17.0,0.0,1482.0,37.9,10.694554455445545,0.0
12866,S,M,35.15,25.05,102.00999999999996,22.0,0.0,1522.0,49.1,14.228903274942878,0.0
12867,T,M,34.75,24.85,98.00999999999998,67.0,1.0,1750.0,26.6,8.863290175171363,0.0
12868,K,L,34.85,24.85,100.0,65.0,1.0,1401.0,54.7,14.591527037319116,0.0
12869,S,L,34.85,24.95,98.01000000000005,63.0,1.0,1652.0,28.5,8.964584920030465,0.0
12870,S,L,34.85,24.95,98.01000000000005,61.0,1.0,1426.0,46.0,12.48971820258949,0.0
12871,K,L,34.95,24.95,100.00000000000007,59.0,1.0,1484.0,40.4,11.415384615384616,0.0
12872,T,M,34.95,24.95,100.00000000000007,56.0,1.0,1452.0,40.8,11.27981721249048,0.0
12873,K,H,34.85,24.85,100.0,51.0,1.0,1520.0,39.6,11.460776846915461,0.0
12874,Z,M,35.85971802785019,25.25,112.56611663048938,203.0,2.0,1495.0,46.0,13.094059405940595,0.0
12875,Z,L,34.85,24.85,100.0,49.0,0.0,1524.0,37.0,10.736481340441737,0.0
12876,K,L,34.85,24.75,102.01000000000003,42.0,0.0,1954.0,21.1,7.850228484386901,0.0
12877,K,H,34.95,24.85,102.01000000000003,37.0,0.0,1440.0,43.7,11.981721249047983,0.0
12878,S,L,34.95,24.85,102.01000000000003,35.0,0.0,1454.0,37.1,10.27102056359482,0.0
12879,S,L,35.05,24.95,102.00999999999996,33.0,0.0,1416.2610809408675,47.5,12.80891114712323,0.0
12880,S,M,34.95,24.85,102.01000000000003,30.0,0.0,1587.0,32.3,9.760110434120335,0.0
12881,Z,M,35.05,24.95,102.00999999999996,27.0,0.0,1736.0,26.8,8.85849200304646,0.0
12882,K,L,35.05,24.95,102.00999999999996,25.0,0.0,1654.0,32.1,10.10917745620716,0.0
12883,T,H,34.85,24.75,102.01000000000003,44.0,0.0,1800.0,24.8,8.499619192688499,0.0
12884,Z,L,35.25,24.75,110.25,175.0,2.0,1646.0,40.6,12.724219345011425,0.0
12885,Z,H,35.05,25.25,96.03999999999995,198.0,2.0,1987.0,19.8,7.4909748667174405,0.0
12886,Z,L,35.05,25.25,96.03999999999995,194.0,2.0,1850.0,27.0,9.510662604722011,0.0
12887,S,L,35.85,25.55,106.09000000000002,154.0,1.0,1691.0,30.1,9.691374714394518,0.0
12888,T,L,35.85,25.55,106.09000000000002,152.0,1.0,1565.0,35.1,10.459158415841584,0.0
12889,K,H,35.85,25.65,104.04000000000006,147.0,1.0,1497.0,43.8,12.484501142421934,0.0
12890,T,L,35.95,25.75,104.04000000000006,145.0,1.0,1383.0,54.9,14.45672124904798,0.0
12891,K,M,36.05,25.75,106.08999999999995,140.0,1.0,1412.0,44.1,11.856283320639758,0.0
12892,S,H,36.05,25.65,108.15999999999997,135.0,1.0,1425.0,53.9,14.62442878903275,0.0
12893,Z,L,35.95,25.65,106.09000000000009,133.0,1.0,1418.0,46.3,12.50064737242955,0.0
12894,K,M,35.85,25.55,106.09000000000002,130.0,1.0,1843.0,25.8,9.053579588728104,0.0
12895,K,L,35.95,25.65,106.09000000000009,128.0,1.0,1489.0,49.1,13.920392231530847,0.0
12896,K,M,35.95,25.65,106.09000000000009,125.0,1.0,1472.0,47.5,13.313023610053312,0.0
12897,S,H,36.05,25.65,108.15999999999997,120.0,1.0,1396.7165915969201,48.5,12.898087336719465,0.0
12898,S,M,35.95,25.65,106.09000000000009,117.0,1.0,1368.0,49.1,12.789185072353389,0.0
12899,Z,L,36.108190707942796,25.65,109.37375288370107,115.0,1.0,1359.896586391191,50.8,13.153607499747238,0.0
12900,T,L,35.95,25.65,106.09000000000009,113.0,1.0,1362.0,45.4,11.773571972581873,0.0
12901,K,L,35.95,25.65,106.09000000000009,111.0,1.0,1350.0,52.5,13.494859101294745,0.0
12902,Z,L,35.95,25.65,106.09000000000009,156.0,1.0,1512.0,40.7,11.717136329017517,0.0
12903,T,H,36.05,25.75,106.08999999999995,106.0,1.0,1379.0,50.7,13.312128712871287,0.0
12904,Z,L,35.95,25.65,106.09000000000009,158.0,1.0,1477.0,42.4,11.923990860624523,0.0
12905,T,M,35.85,25.65,104.04000000000006,162.0,2.0,1661.0,29.5,9.329683929931456,0.0
12906,K,L,35.85,25.75,102.01000000000003,202.0,2.0,1601.0,32.3,9.84621096725057,0.0
12907,S,L,35.95,25.85,102.01000000000003,200.0,2.0,1610.6350881423423,35.0,10.733478310164124,0.0
12908,T,L,35.95,25.75,104.04000000000006,198.0,2.0,1369.0,44.4,11.573419649657273,0.0
12909,Z,L,35.95,25.75,104.04000000000006,196.0,2.0,1452.0,45.5,12.57920792079208,0.0
12910,S,M,35.85,25.75,102.01000000000003,193.0,2.0,1810.9823797160543,22.6,7.792879242494827,0.0
12911,K,L,35.75,25.65,102.01000000000003,189.0,2.0,1527.0,32.4,9.42018278750952,0.0
12912,S,H,35.75,25.65,102.01000000000003,184.0,2.0,1466.0,44.1,12.30971058644326,0.0
12913,S,M,35.75,25.75,100.0,181.0,2.0,1679.0,28.7,9.175038080731149,0.0
12914,T,L,35.95,25.85,102.01000000000003,179.0,2.0,1394.0,45.1,11.970563594821021,0.0
12915,Z,L,35.95,25.85,102.01000000000003,177.0,2.0,1523.0,38.6,11.193412033511043,0.0
12916,K,M,35.85,25.75,102.01000000000003,174.0,2.0,1812.0,25.9,8.935795887281035,0.0
12917,S,L,35.85,25.65,104.04000000000006,172.0,2.0,1829.0,22.9,7.9748857578065495,0.0
12918,Z,M,35.85,25.65,104.04000000000006,169.0,2.0,1592.0,38.2,11.579284082254379,0.0
12919,K,L,35.95,25.65,106.09000000000009,167.0,2.0,1393.0,52.6,13.951218583396802,0.0
12920,S,L,35.95,25.65,106.09000000000009,165.0,2.0,1378.0,54.4,14.273267326732674,0.0
12921,K,L,35.95,25.65,106.09000000000009,160.0,2.0,1513.0,40.3,11.609653465346534,0.0
12922,S,L,35.75,25.65,102.01000000000003,204.0,2.0,1379.0,46.7,12.261862147753238,0.0
12923,T,L,35.95,25.65,106.09000000000009,104.0,1.0,1439.0,39.2,10.74044173648134,0.0
12924,S,M,36.05,25.65,108.15999999999997,98.0,1.0,1452.0,48.6,13.436252856054836,0.0
12925,S,L,36.05,25.45,112.35999999999996,42.0,0.0,1542.0,48.4,14.21035795887281,0.0
12926,T,L,36.05,25.45,112.35999999999996,40.0,0.0,2035.0,19.6,7.594440213252095,0.0
12927,Z,M,36.05,25.45,112.35999999999996,37.0,0.0,1742.0,30.0,9.950495049504951,0.0
12928,T,M,35.95,25.45,110.25000000000007,34.0,0.0,1339.0,51.1,13.027970297029704,0.0
12929,Z,H,35.95,25.45,110.25000000000007,29.0,0.0,1423.0,44.3,12.002837014470677,0.0
12930,K,L,35.75,25.25,110.25,24.0,0.0,1782.0,23.9,8.109253617669458,0.0
12931,Z,M,35.85,25.35,110.25,21.0,0.0,1741.0,28.0,9.281797410510281,0.0
12932,S,M,35.55,25.15,108.15999999999997,18.0,0.0,1667.0,28.6,9.077722772277228,0.0
12933,T,L,35.45,24.95,110.25000000000007,16.0,0.0,1527.0,40.2,11.688004569687738,0.0
12934,K,L,35.63189446621847,24.95,114.10286938742877,14.0,0.0,1500.014900565267,42.4,12.109792799689131,0.0
12935,K,M,35.45,24.95,110.25000000000007,11.0,0.0,1425.0,41.9,11.368526275704493,0.0
12936,Z,L,35.55,25.05,110.24999999999993,9.0,0.0,1408.0,40.0,10.723533891850723,0.0
12937,Z,L,35.45,25.05,108.16000000000004,7.0,0.0,1433.0,39.5,10.777513328255903,0.0
12938,T,L,35.35,24.95,108.16000000000004,5.0,0.0,1498.0,49.4,14.090099009900989,0.0
12939,Z,L,35.55,25.05,110.24999999999993,3.0,0.0,1408.0,46.3,12.412490479817212,0.0
12940,T,M,36.05,25.45,112.35999999999996,44.0,0.0,1311.0,46.6,11.632254379284081,0.0
12941,T,L,36.05,25.75,106.08999999999995,101.0,1.0,1581.0,36.7,11.047734196496574,0.0
12942,K,M,36.05,25.55,110.24999999999993,47.0,0.0,1410.0,45.6,12.242193450114241,0.0
12943,T,M,36.14923523539941,25.75,108.1440934811726,55.0,1.0,1632.0,32.5,10.099009900990099,0.0
12944,Z,M,35.95,25.65,106.09000000000009,95.0,1.0,1559.0,34.7,10.300323686214776,0.0
12945,Z,L,36.15,25.75,108.15999999999997,93.0,1.0,1665.0,32.5,10.303217821782178,0.0
12946,T,L,36.25,25.85,108.15999999999997,91.0,1.0,1401.342008077654,48.3,12.887436974514602,0.0
12947,K,L,36.25,25.85,108.15999999999997,89.0,1.0,1798.0,25.5,8.72981721249048,0.0
12948,S,M,36.35,25.95,108.16000000000004,86.0,1.0,1339.0,48.2,12.288613861386139,0.0
12949,Z,L,36.25,25.85,108.15999999999997,84.0,1.0,1693.0,30.1,9.702837014470678,0.0
12950,K,L,36.25,25.95,106.09000000000002,82.0,1.0,1439.0,44.2,12.11039603960396,0.0
12951,Z,H,36.25,25.95,106.09000000000002,77.0,1.0,1811.0,24.6,8.482597105864434,0.0
12952,Z,L,36.35,25.95,108.16000000000004,75.0,1.0,1512.0,39.0,11.227722772277227,0.0
12953,S,L,36.35,25.85,110.25,73.0,1.0,1861.0,23.3,8.256150038080731,0.0
12954,K,M,36.25,25.85,108.15999999999997,70.0,1.0,1579.7778723688962,37.3,11.219671485026623,0.0
12955,S,L,36.25,25.85,108.15999999999997,68.0,1.0,1758.0,25.7,8.602551408987052,0.0
12956,Z,M,36.15,25.75,108.15999999999997,65.0,1.0,1581.0,30.7,9.241565118050266,0.0
12957,S,L,36.15,25.65,110.25,63.0,1.0,1450.0,44.8,12.368621477532367,0.0
12958,S,H,36.15,25.75,108.15999999999997,58.0,1.0,1493.1651201804434,42.7,12.139784964147932,0.0
12959,K,H,36.05,25.65,108.15999999999997,50.0,0.0,1306.0,54.5,13.552361005331303,0.0
